Title,Sales,Series,Platform(s),Initial release date,Developer(s)[a],Publisher(s)[a],Ref
Super Mario World,"26,662,500",Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo,[o]
Call of Duty: Modern Warfare 3,"26,500,000",Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision,[44]
Call of Duty: Black Ops,"26,200,000",Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision,[44]
Borderlands 2,"27,000,000",Borderlands,Multi-platform,"September 18, 2012",Gearbox Software,2K Games,[45]
Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"25,370,000",Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company,[p]
Pokémon Sword / Shield,"25,370,000",Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company,[15]
Grand Theft Auto IV,"25,000,000",Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games,[47]
Pokémon Diamond / Pearl / Platinum,"24,730,000",Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company,[q]
Super Mario Bros. 3,"24,430,000",Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo,[r]
Super Mario Odyssey,"24,400,000",Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo,[15]
Call of Duty: Black Ops II,"24,200,000",Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision,[44]
FIFA 18,"24,000,000",FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports,[50]
Kinect Adventures!,"24,000,000",None,Xbox 360,"November 4, 2010",Good Science Studio,Xbox Game Studios,[51]
Sonic the Hedgehog,"23,982,960",Sonic the Hedgehog,Multi-platform[c],"June 23, 1991",Sonic Team,Sega,[s]
Nintendogs,"23,960,000",None,Nintendo DS,"April 21, 2005",Nintendo EAD,Nintendo,[33]
Mario Kart DS,"23,600,000",Mario Kart,Nintendo DS,"November 14, 2005",Nintendo EAD,Nintendo,[33]
God of War,"23,000,000",God of War,PlayStation 4 / Windows,"April 20, 2018",Santa Monica Studio,Sony Interactive Entertainment,[56]
Red Dead Redemption,"23,000,000",Red Dead,PS3 / Xbox 360,"May 18, 2010",Rockstar San Diego,Rockstar Games,[57]
Call of Duty: Modern Warfare 2,"22,700,000",Call of Duty,Multi-platform,"November 10, 2009",Infinity Ward,Activision,[44]
