Game,Developer(s),Publisher(s),Release date[b],Sales,Ref.
NASCAR 98,Stormfront Studios,EA Sports,"November 17, 1997","1,160,000",[11]
NBA Live 98,EA Canada,EA Sports,"November 30, 1997","1,150,000",[11]
Devil Dice,Shift,JP/EU: Sony Computer EntertainmentNA: THQ,"June 18, 1998","1,140,609",[aa]
NASCAR 99,Stormfront Studios,EA Sports,"September 28, 1998","1,140,000",[11]
Tales of Destiny,Wolf Team,Namco,"December 23, 1997","1,139,000",[40]
NFL GameDay 99,989 Studios,989 StudiosSony Computer Entertainment,"July 31, 1998","1,120,000",[11]
I.Q.: Intelligent Qube,G-ArtistsSugar & Rockets,Sony Computer Entertainment,"January 31, 1997","1,113,288",[ab]
beatmania,Konami,Konami,"October 1, 1998","1,100,000",[12]
Derby Stallion 99,ParityBit,ASCII Corporation,"September 30, 1999","1,100,000",[12]
Star Ocean: The Second Story,tri-Ace,JP: EnixNA/EU: Sony Computer Entertainment,"July 30, 1998","1,094,000",[41]
Ace Combat 2,Namco,Namco,"May 30, 1997","1,092,000",[29]
2Xtreme,Sony Interactive Studios America,Sony Computer Entertainment,"November 6, 1996","1,090,000",[11]
Parasite Eve II,Square,Square,"December 16, 1999","1,090,000",[20]
Twisted Metal,SingleTracSony Interactive Studios America,Sony Computer Entertainment,"November 5, 1995","1,080,000",[11]
Test Drive 5,Pitbull Syndicate,Accolade,"September 30, 1998","1,080,000",[11]
Twisted Metal 4,989 Studios,Sony Computer Entertainment,"October 31, 1999","1,080,000",[11]
SpongeBob SquarePants: SuperSponge,Climax Group,THQ,"November 5, 2001","1,070,000",[11]
R4: Ridge Racer Type 4,Namco,JP/NA: NamcoEU: Sony Computer Entertainment,"December 3, 1998","1,057,091",[ac]
Arc the Lad II,G-CraftWinds,Sony Computer Entertainment,"November 1, 1996","1,040,000",[12]
Densha de Go!,Taito,Taito,"December 18, 1997","1,040,000",[12]
Dance Dance Revolution 2nd ReMix,Konami,Konami,"August 26, 1999","1,032,085",[27]
NFL GameDay,Sony Interactive Studios America,Sony Computer Entertainment,November 1995,"1,000,000",[42]
Monster Rancher,Tecmo,Tecmo,"July 24, 1997","1,000,000",[43]
Fighting Force,Core Design,Eidos Interactive,"October 31, 1997","1,000,000",[44]
Colin McRae Rally,Codemasters,Codemasters,July 1998,"1,000,000",[45]
Simple 1500 Series Vol. 1: The Mahjong,Chat NoirSuccess,D3 Publisher,"October 22, 1998","1,000,000",[12]
Street Fighter Alpha 3,Capcom,Capcom,"December 23, 1998","1,000,000",[15]
WCW/nWo Thunder,Inland Productions,THQ,"December 31, 1998","1,000,000",[46]
NBA Live 2000,EA Canada,EA Sports,"October 31, 1999","1,000,000",[11]
Dancing Stage Party Edition,Konami,Konami,"November 15, 2002","1,000,000",[47]
